"","Q1.2","Q1.4","Q1.5","Q1.12","Q1.14.1","Q1.14.2","Q1.14.3","Q1.14.4","Q1.14.5","Q1.14.6","Q3.3","Q3.5.2","Q3.6.1","Q3.6.2","Q3.7","Q3.8.1c1","Q3.8.1c2","Q3.12","Q3.14","Q3.21.1","Q3.21.2","Q3.21.3","Q5.1","Q5.2","Q5.3.1","Q5.4","Q6.1.1","Q6.1.2","Q6.1.3","Q6.1.4","Q6.1.5","Q6.2.1","Q6.2.2","Q6.2.5","Q6.3","Q6.7","Q7.5","Q7.6"
"1",2,22,3,1,4,4,5,5,4,4,2,3,90,70,400,200,0,2,0,3,3,3,55.9166333333333,1,86,1,5,4,3,3,5,5,4,4,3,5,5,4
"2",2,26,1,1,4,1,4,1,4,4,2,3,15,21,150,2090,0,3,40,5,1,1,39.4999666666668,1,86,1,5,5,4,4,4,5,3,3,5,7,6,2
"3",1,23,10,2,4,1,3,4,5,2,2,3,18,12.7,800,565,150,4,20,4,4,4,27.5833,1,86,1,3,2,2,2,3,4,2,4,4,3,7,4
"4",2,18,8,2,4,4,3,3,3,4,1,3,30,10,1300,1250,0,3,30,3,3,3,26.8333,1,147,2,2,1,3,2,4,3,3,4,5,6,7,5
"5",1,18,3,2,4,5,3,5,4,5,1,1,45,3.8,120,110,310,3,0,3,3,3,24.3333,2,86,1,5,5,5,4,5,4,4,5,4,3,7,6
"6",1,18,6,1,4,3,3,3,4,4,1,1,30,2.7,0,0,647.5,5,0,3,3,3,24.4166333333333,1,144,3,4,3,2,2,5,4,1,4,6,1,5,6
"7",2,3,3,2,5,5,5,5,5,4,2,3,50,10,752,160,70,4,20,3,4,4,28.9166333333333,1,86,1,5,5,4,4,5,4,1,5,4,5,5,3
"8",1,25,11,1,4,4,4,4,4,2,1,1,12,2,0,1040,0,5,0,3,5,5,37.6666333333333,2,86,1,5,6,4,5,5,1,2,4,4,5,5,4
"9",1,24,2,1,4,4,2,3,4,4,2,5,65,28,390,295,60,4,10,5,3,3,29.4166333333333,2,86,1,3,4,2,4,2,2,2,5,6,6,7,6
"10",2,24,3,2,5,5,5,5,5,5,2,3,25,21,2643,1065,0,3,35,5,3,3,40.1666333333333,1,86,1,5,3,3,3,3,4,4,4,2,7,6,6
"11",1,3,2,1,5,4,4,4,5,4,1,1,40,4,0,775,0,5,16,3,3,3,30.5833,1,86,1,3,2,2,2,2,3,1,5,6,6,3,7
"12",1,18,5,2,5,4,5,4,4,5,1,1,20,0.6,417,415,450,2,0,3,3,3,21.9999666666668,1,86,1,3,3,3,3,3,4,5,5,3,5,5,3
"13",1,24,6,1,3,4,2,4,3,4,1,3,60,8,0,1295,0,1,40,2,1,1,31.5833,1,86,1,4,3,2,2,2,2,4,4,3,2,6,1
"14",1,18,2,2,4,4,3,4,5,4,1,1,40,6,310,410,0,2,0,3,3,3,23.2499666666668,2,189,5,5,4,4,4,6,3,3,4,4,5,6,7
"15",2,25,4,1,4,4,4,5,5,5,1,5,180,200,150,1120,0,4,26,3,3,3,27.4999666666668,1,86,1,4,4,4,1,5,4,2,4,2,1,5,1
"16",1,4,8,2,3,2,4,4,4,4,1,1,30,3,500,0,410,5,0,3,5,5,21.9166333333333,2,82,4,3,4,4,3,4,2,2,3,5,5,5,6
"17",1,18,7,2,4,4,2,4,5,5,1,1,20,3,500,320,300,4,10,3,4,4,21.7499666666668,2,86,1,2,2,4,3,2,2,2,5,4,3,5,3
"18",1,22,4,1,4,4,3,2,4,5,1,1,20,5,1000,1000,0,4,17,4,2,2,32.3333,1,86,1,5,4,4,3,5,4,2,4,3,6,5,3
"19",2,22,6,2,4,4,3,3,4,3,2,5,25,3,1500,1205,0,1,38,1,1,1,28.0833,1,86,1,3,3,3,1,3,5,4,4,3,5,7,4
"20",1,18,4,2,4,5,3,5,4,4,2,2,3,0.5,500,465,200,2,18,3,3,3,26.0833,1,86,1,5,5,5,3,3,5,3,4,3,4,5,7
"21",1,24,7,1,3,4,1,3,4,2,1,3,5,5,1000,960,0,4,0,3,4,4,27.9166333333333,1,70,4,2,2,3,2,2,4,3,3,4,4,4,7
"22",2,12,1,1,4,4,4,4,4,4,2,3,15,5,50,2600,0,5,0,3,3,3,42.8333,2,86,1,5,5,5,5,5,4,2,4,3,4,6,5
"23",1,18,4,2,4,4,3,2,5,2,2,1,10,0.75,120,200,0,4,1,3,3,3,23.5833,1,86,1,4,3,2,3,1,5,1,4,5,6,5,3
"24",1,3,2,2,4,3,4,4,2,5,1,1,55,4.3,600,600,0,4,20,5,2,2,22.6666333333333,1,86,1,4,4,4,3,3,4,2,4,5,3,9,6
"25",1,22,2,2,4,3,4,2,4,2,1,1,20,1.5,930,738,0,4,0,3,3,3,23.1666333333333,1,189,4,4,3,3,2,4,4,2,4,5,5,5,7
"26",2,2,8,1,4,3,4,5,5,4,2,3,45,21.7,752,625,100,4,0,3,3,3,43.5833,1,86,1,4,5,3,3,5,5,3,5,6,4,2,4
"27",2,16,2,1,5,5,5,5,5,5,2,3,120,128,0,1990,0,4,39,5,1,1,54.7499666666668,1,86,1,2,3,3,3,4,4,3,5,5,5,6,7
"28",1,2,3,2,4,3,3,4,5,3,1,1,20,1.6,350,630,0,4,0,3,3,3,23.7499666666668,1,86,1,5,5,6,5,5,3,2,4,4,2,3,3
"29",1,18,6,2,5,5,3,4,5,5,1,3,5,1,1000,1000,0,5,16,5,1,1,23.6666333333333,1,86,1,5,5,4,3,5,4,1,5,4,6,10,5
"30",1,18,4,2,4,4,4,4,4,4,1,3,120,200,1400,1230,0,4,45,3,3,3,25.4166333333333,1,86,1,4,3,2,1,4,5,2,4,4,6,8,5
"31",1,24,4,2,4,3,2,4,4,4,1,1,25,2,400,380,420,2,0,3,3,3,22.5833,2,86,1,5,5,3,3,4,3,4,4,3,5,5,5
"32",2,18,7,2,4,3,3,4,3,5,1,3,37,21,1650,775,0,1,41,2,3,3,25.6666333333333,2,144,4,3,4,4,3,4,4,4,4,5,4,7,6
"33",1,18,2,1,4,4,2,4,3,3,1,1,15,1.5,945,765,0,1,0,3,4,4,33.0833,1,70,4,2,2,4,3,4,3,4,3,5,2,5,3
"34",1,24,10,2,2,1,3,4,4,5,2,3,20,3,1400,1150,60,3,16,5,1,1,25.0833,1,86,1,4,3,3,2,4,5,1,4,1,2,5,3
"35",1,26,8,2,5,5,2,1,5,4,1,3,5,1.5,250,350,350,5,0,3,5,5,23.8333,2,86,1,6,5,2,2,4,5,2,4,2,4,5,4
"36",1,22,2,2,4,4,4,4,5,4,1,2,15,4.3,2340,1950,0,2,30,4,3,3,23.0833,2,86,1,5,5,5,4,5,4,4,4,2,6,5,1
"37",2,22,10,1,4,3,3,5,5,4,1,5,55,10,2100,1780,0,2,38,5,1,1,42.4166333333333,1,65,3,5,3,4,2,3,4,4,4,2,3,6,7
"38",1,25,4,2,3,2,2,3,3,5,1,1,15,2,400,400,0,3,0,2,5,5,26.4166333333333,2,86,1,3,3,3,3,2,4,3,3,4,7,10,5
"39",1,24,7,1,2,3,2,1,1,4,2,3,30,30,0,190,70,4,0,2,5,5,25.0833,2,86,1,2,2,2,1,2,5,2,2,4,5,4,3
"40",1,23,2,2,4,1,4,4,2,5,2,5,15,4.4,700,331,100,4,16,3,3,3,23.6666333333333,1,86,1,5,4,3,5,3,5,3,4,5,6,6,3
"41",2,5,6,1,4,4,3,4,5,4,2,3,10,5,1000,900,0,1,0,3,3,3,50.1666333333333,1,86,1,5,4,5,4,5,5,5,5,3,3,3,5
"42",1,19,4,2,4,1,4,2,2,4,2,3,45,45,100,100,170,3,0,3,3,3,20.8333,1,86,1,4,4,4,2,2,5,2,3,6,3,3,1
"43",2,24,7,1,4,2,3,5,5,5,1,5,30,20,2333,2100,0,2,37.5,3,3,3,33.4166333333333,2,86,1,5,3,1,1,2,5,2,4,4,6,5,6
"44",1,19,3,2,4,2,4,4,4,4,1,1,15,1.6,100,0,630,3,0,5,5,5,22.2499666666668,1,86,1,4,4,4,3,3,2,2,2,4,1,6,5
